Chn,Identifier,DLC,D0,D1,D2,D3,D4,D5,D6,D7,Time,Dir
0,316,8,2,0,0,0,1,0,0,0,0,R
0,329,8,2,0,0,0,1,0,0,0,0.00025,R
0,382,8,2,0,0,0,1,0,0,0,0.00051,R
0,000004B1,8,2,0,0,0,1,0,0,0,0.00076,R
0,000004F2,8,2,0,0,0,1,0,0,0,0.00102,R
0,587,8,1,0,0,0,2,0,0,0,0.00128,R
0,316,8,2,0,0,0,1,0,0,0,0.00921,R
0,000000A2,8,18,0,0,0,0,0,0,0,0.00947,R
0,000000B2,8,0,0,0,0,0,0,0,0,0.00964,R
0,000000C4,8,20,4E,0,0,0,0,0,0,0.00989,R
0,329,8,2,0,0,0,1,0,0,0,0.01015,R
0,382,8,2,0,0,0,1,0,0,0,0.01041,R
0,000004B1,8,2,0,0,0,1,0,0,0,0.01066,R
0,000004F2,8,2,0,0,0,1,0,0,0,0.01092,R
0,587,8,1,0,0,0,2,0,0,0,0.01117,R
0,370,8,2,0,0,0,1,0,0,0,0.01143,R
0,0000043F,8,2,0,0,0,1,0,0,0,0.01169,R
0,000004F1,8,2,0,0,0,1,0,0,0,0.01194,R
0,316,8,2,0,0,0,1,0,0,0,0.01996,R
0,329,8,2,0,0,0,1,0,0,0,0.02022,R
0,382,8,2,0,0,0,1,0,0,0,0.02048,R
0,000004B1,8,2,0,0,0,1,0,0,0,0.02073,R
0,000004F2,8,2,0,0,0,1,0,0,0,0.02099,R
0,587,8,1,0,0,0,2,0,0,0,0.02124,R
0,316,8,2,0,0,0,1,0,0,0,0.02918,R
0,184,8,B9,C5,F4,1,0,0,0,0,0.02944,R
0,000001C7,8,8D,C4,F4,1,0,0,0,0,0.02961,R
0,000001CD,8,F1,C4,F4,1,0,0,0,0,0.02986,R
0,1E9,8,55,C5,F4,1,0,0,0,0,0.03012,R
0,329,8,2,0,0,0,1,0,0,0,0.03037,R
0,334,8,1D,C6,F4,1,0,0,0,0,0.03063,R
0,382,8,2,0,0,0,1,0,0,0,0.03089,R
0,000004B1,8,2,0,0,0,1,0,0,0,0.03114,R
0,000004F2,8,2,0,0,0,1,0,0,0,0.03131,R
0,587,8,1,0,0,0,2,0,0,0,0.03157,R
